text,label
Hope you have a great day!,0
"Such a talented artist, keep going!",0
Ninakku oru nalla divasam aakatte,0
This is the dumbest thing I've read.,1
????????????? ??,0
"Thanks for sharing, really helpful.",0
Nale kaanam,0
Delete your account.,1
"Adipoli work, keep it up dear.",0
"Adipoli work, keep it up dear.",0
??????? ???? ?????,1
Ninakku oru nalla life undakum,0
"Kaanan oru lookum illa, vrithiketta padam.",1
You're pathetic af,1
This is the dumbest thing I've read.,1
Ninakku oru future illa,1
Nee oru tholvi aanu,1
Delete your account.,1
Nee oru tholvi aanu,1
Innu nalla divasam aakum,0
?? ??? ??????????,1
"Pwoli machane, next level item.",0
Stay safe out there!,0
Kidu vibe aanu ketto.,0
No one cares about ur opinion,1
നിനക്ക് നാണമില്ലേ ഇതൊക്കെ പോസ്റ്റ് ചെയ്യാൻ?,1
You're such a loser ??,1
Congrats on your promotion!,0
എല്ലാവിധ ഭാവുകങ്ങളും നേരുന്നു.,0
"I disagree, but I respect your opinion.",0
Stop acting like a clown ??,1
"Pwoli machane, next level item.",0
"Pwoli machane, next level item.",0
??????? ???? ?????,1
"Good morning, have a nice day.",0
"ഇതെനിക്ക് വളരെ ഉപകാരപ്രദമായി, നന്ദി.",0
Ninakku oru nalla divasam aakatte,0
Proud of you!,0
"Thala manda, nee poyi vere pani nokk.",1
??????? ???? ?????????????????,1
You're such a loser ??,1
???????????,0
Pathetic behavior.,1
നിനക്ക് നാണമില്ലേ ഇതൊക്കെ പോസ്റ്റ് ചെയ്യാൻ?,1
You're pathetic af,1
"Thala manda, nee poyi vere pani nokk.",1
Ninakku oru brain illa,1
?? ??? ??????????????,1
?????? ???? ????? ????????,1
Keep shining ??,0
Stop acting like a clown ??,1
???? ???? ??????,0
"Good morning, have a nice day.",0
ഗംഭീര പ്രകടനം.,0
Ninakku oru nalla life undakum,0
പോയി പണി നോക്കെടാ.,1
Kidu vibe aanu ketto.,0
Who allowed you to post this garbage?,1
കാണാൻ നല്ല ഭംഗിയുണ്ട്.,0
????????????? ??,0
"Great explanation, thanks!",0
???????????,0
You're pathetic af,1
Happy birthday! Have a blast.,0
നിന്നെ കാണാൻ ഒരു കുരങ്ങനെ പോലെയുണ്ട്.,1
Ninakku onnum varilla,1
"ആശംസകൾ, ഇനിയും മുന്നോട്ട് പോവുക.",0
??????? ??????!,0
Oola comment idathe poda.,1
Mass look aliya.,0
Innu nalla divasam aakum,0
This is the dumbest thing I've read.,1
?? ??????? ??????,1
Ninakku oru nalla life undakum,0
Stay safe out there!,0
Ninte mugham kandittu chirikkunnu,1
Ninakku oru nalla life undakum,0
Good luck with your exams!,0
Oola comment idathe poda.,1
"Such a talented artist, keep going!",0
എന്ത് വൃത്തികെട്ട മുഖമാണ് നിന്റേത്.,1
Happy birthday! ??,0
Congrats on your promotion!,0
നിനക്ക് നാണമില്ലേ ഇതൊക്കെ പോസ്റ്റ് ചെയ്യാൻ?,1
Congrats on your promotion!,0
"Such a talented artist, keep going!",0
Ninakku abhinandanangal!,0
"Scene maatti, vere level.",0
നീ ഒരു വലിയ ദുരന്തമാണ്.,1
"Good morning, have a nice day.",0
കഷ്ടം തന്നെ നിന്റെ കാര്യം.,1
Nee oru waste aanu,1
Ee sthalam evideya? Nalla bhangi und.,0
Nee oru zero aanu,1
You look like a clown.,1
എല്ലാവിധ ഭാവുകങ്ങളും നേരുന്നു.,0
"നല്ല ഫോട്ടോ, എനിക്ക് വളരെ ഇഷ്ടമായി.",0
Nee oru budhimuttan aanu,1
Nee oru budhimuttan aanu,1
Cringe alert.,1
Oola comment idathe poda.,1
?? ??? ??????????????,1
Ninakku onnum varilla,1
Ninakk vivaram illel mindathiri.,1
"Good morning, have a nice day.",0
Keep shining ??,0
Delete your account.,1
Njan ithu try cheythu nokkatte.,0
?????? ???? ?????? ????????,1
U suck big time,1
എല്ലാവിധ ഭാവുകങ്ങളും നേരുന്നു.,0
നിന്നെ ആർക്കും ഇഷ്ടമല്ല.,1
You’re a total failure.,1
"Nobody likes you, leave the group.",1
"Kaanan oru lookum illa, vrithiketta padam.",1
എല്ലാവിധ ഭാവുകങ്ങളും നേരുന്നു.,0
Cringe alert.,1
Proud of you!,0
Nee verum oola aanu.,1
Poli sanam.,0
ഗംഭീര പ്രകടനം.,0
Nee oru budhimuttan aanu,1
"സൂപ്പർ പടം, ഇഷ്ടപ്പെട്ടു.",0
"Great explanation, thanks!",0
Njan ithu try cheythu nokkatte.,0
Nee theernneda.,1
??????? ???? ?????????????????,1
"Thala manda, nee poyi vere pani nokk.",1
വൃത്തികെട്ടവൻ.,1
??????? ??????!,0
You're such a loser ??,1
Happy birthday! ??,0
"I disagree, but I respect your opinion.",0
Ur face is a joke ??,1
?? ??? ????????,1
"സൂപ്പർ പടം, ഇഷ്ടപ്പെട്ടു.",0
Pathetic behavior.,1
Hope you have a great day!,0
Just disappear already,1
Cringe alert.,1
Njan ithu try cheythu nokkatte.,0
??????? ??????,0
Nee oru tholvi aanu,1
"I disagree, but I respect your opinion.",0
എന്ത് വൃത്തികെട്ട മുഖമാണ് നിന്റേത്.,1
You're the dumbest person I know,1
????? ???? ????? ??????????,0
"Thanks for sharing, really helpful.",0
You look like a clown.,1
Good luck with your exams!,0
"നല്ല ഫോട്ടോ, എനിക്ക് വളരെ ഇഷ്ടമായി.",0
?????? ?????? ????? ??? ????,1
You got this!,0
Love the vibe here.,0
Ninakku onnum varilla,1
വായ തുറന്നാൽ മണ്ടത്തരമേ പറയൂ.,1
Stay strong ??,0
Ninakku oru karyavum ariyilla,1
Poli sanam.,0
Nee oru zero aanu,1
U suck big time,1
Nalla job cheythu,0
?????? ???? ?????? ????????,1
"Good morning, have a nice day.",0
???? ???? ??????,0
നീ ഒരു വലിയ ദുരന്തമാണ്.,1
ഗംഭീര പ്രകടനം.,0
This is the dumbest thing I've read.,1
കാണാൻ നല്ല ഭംഗിയുണ്ട്.,0
??????? ????? ?????,0
ഗംഭീര പ്രകടനം.,0
?????? ??? ????? ??????????,1
Ninakku oru future illa,1
?? ?????? ???????,1
Ninte mugham kandittu chirikkunnu,1
Poyi chathude ninakku?,1
You're the dumbest person I know,1
Ur face is a joke ??,1
Who allowed you to post this garbage?,1
Nee verum oola aanu.,1
You're so annoying ??,1
വീട്ടിൽ എല്ലാവർക്കും സുഖമാണോ?,0
നിന്നെ കാണാൻ ഒരു കുരങ്ങനെ പോലെയുണ്ട്.,1
Sukhamaano?,0
"Good morning, have a nice day.",0
"Get a life, freak",1
Ninakku oru smile venam ??,0
കഷ്ടം തന്നെ നിന്റെ കാര്യം.,1
"Such a talented artist, keep going!",0
Ninakku sahayam venamo?,0
നിന്നെ ആർക്കും ഇഷ്ടമല്ല.,1
Nee oru tholvi aanu,1
Poli sanam.,0
Who allowed you to post this garbage?,1
എല്ലാവിധ ഭാവുകങ്ങളും നേരുന്നു.,0
"Such a talented artist, keep going!",0
?? ??? ?????????,1
??????? ???? ?????????????????,1
Much love ??,0
Ninte face kandittu chodikkan thonnilla,1
Ninakku oru nalla life undakum,0
Innu nalla divasam aakum,0
Your outfit looks amazing in this picture!,0
Cringe alert.,1
??????? ??????,0
Nale kaanam,0
You're the dumbest person I know,1
You're so annoying ??,1
U suck big time,1
"Kaanan oru lookum illa, vrithiketta padam.",1
"സൂപ്പർ പടം, ഇഷ്ടപ്പെട്ടു.",0
Delete your account.,1
?????? ??? ????? ??????????,1
Ee sthalam evideya? Nalla bhangi und.,0
Ninakku oru nalla divasam aakatte,0
????????????? ??,0
Nee oru budhimuttan aanu,1
????????????? ??,0
You're so annoying ??,1
Poli sanam.,0
Pathetic behavior.,1
Ninakku oru happy life aakatte,0
You're the dumbest person I know,1
"സൂപ്പർ പടം, ഇഷ്ടപ്പെട്ടു.",0
Cringe alert.,1
"Adipoli work, keep it up dear.",0
Nalla job cheythu,0
ഗംഭീര പ്രകടനം.,0
കാണാൻ നല്ല ഭംഗിയുണ്ട്.,0
നിന്നെ ആർക്കും ഇഷ്ടമല്ല.,1
?????? ???? ?????? ????????,1
"Such a talented artist, keep going!",0
"Thanks for sharing, really helpful.",0
"Ayye, ithu enthuonnu, kashtam thanne.",1
Oola comment idathe poda.,1
You are literally glowing!,0
??????? ??????? ??????????,0
അടുത്ത വീഡിയോ എപ്പോഴാണ് വരുന്നത്?,0
കഷ്ടം തന്നെ നിന്റെ കാര്യം.,1
പോയി പണി നോക്കെടാ.,1
??????? ??????????,0
Lmao you're trash,1
??????? ??????? ??????????,0
Cringe alert.,1
Delete your account.,1
"Kaanan oru lookum illa, vrithiketta padam.",1
നിന്നെ കാണാൻ ഒരു കുരങ്ങനെ പോലെയുണ്ട്.,1
Can you share the link?,0
Poyi chathude ninakku?,1
"Scene maatti, vere level.",0
Verum waste post.,1
Nee oru waste aanu,1
This is exactly what I needed today.,0
Poyi chathude ninakku?,1
Nee oru tholvi aanu,1
U suck big time,1
Innu nalla divasam aakum,0
Cringe alert.,1
??????? ??????? ?????? ???? ??????,0
???????????,0
Stay safe out there!,0
???? ???? ??????,0
???????????,0
Good luck with your exams!,0
??????? ??????? ??????????,0
?? ??? ??????????,1
Janmadinaashamsakal ??,0
Sukhamaano?,0
Poyi kidannu iru,1
Ninakku oru nalla divasam aakatte,0
Sukhamaano?,0
കാണാൻ നല്ല ഭംഗിയുണ്ട്.,0
Ninakku oru valiya future undu,0
Ur face is a joke ??,1
??????? ???? ?????????????????,1
Who allowed you to post this garbage?,1
You're doing great!,0
This is exactly what I needed today.,0
Can you share the link?,0
കാണാൻ നല്ല ഭംഗിയുണ്ട്.,0
"Adipoli work, keep it up dear.",0
Ellam sheriyakum,0
Sending positive vibes ?,0
"ആശംസകൾ, ഇനിയും മുന്നോട്ട് പോവുക.",0
"Adipoli work, keep it up dear.",0
Well done ??,0
??????? ??????? ??????????,0
Oola comment idathe poda.,1
You're so annoying ??,1
You are literally glowing!,0
Poli sanam.,0
Nee oru waste aanu,1
Cringe alert.,1
Ninakku oru karyavum ariyilla,1
Who allowed you to post this garbage?,1
Well done ??,0
കഷ്ടം തന്നെ നിന്റെ കാര്യം.,1
You're such a loser ??,1
Hope you have a great day!,0
You look like a clown.,1
"Thala manda, nee poyi vere pani nokk.",1
